Student ID,WorldSpace,index,Submission_TreeDist_Successive,nb_tentative,pct_activity,error,missing,move1,move2,pickup1,place1,nb_error,nb_missing,nb_move1,nb_move2,nb_pickup1,nb_place1,pct_error,pct_missing,pct_move1,pct_move2,pct_pickup1,pct_place1,euclidean_distance,delta_successive,success,has_error,activity,seq_error,case1,case2,case3,cases,activity_all,bucket_delta_successive,bucket_Submission_TreeDist_Successive,median_split_delta_successive,median_split_Submission_TreeDist_Successive,at_least_2_tentatives
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,false']",4,2.0,9,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666052879634526,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,false']",5,0.0,9,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666052879634526,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,E,E,false']",6,4.0,9,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2526944548866976,0.31234752377721214,1,0,2,none,0,0,0,none,123,high,low,high,high,1
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,false']",7,4.0,9,0.7777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666052879634526,0.31234752377721214,1,0,2,none,0,0,0,none,123,high,low,high,high,1
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,false']",8,2.0,9,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666052879634526,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123837,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,false']",9,6.0,9,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666052879634526,1,0,2,none,0,0,0,none,123,high,low,high,high,1
AUS128110,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,false']",0,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18851840701914957,0.0,1,0,2,none,0,0,0,none,23,low,low,low,low,1
AUS128110,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,E,false']",1,3.0,6,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16564728911226984,0.18152799591048577,1,0,2,none,0,0,0,none,23,high,low,high,high,1
AUS128110,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,false']",2,6.0,6,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333026439817263,0.11043152607484655,1,0,2,none,0,0,0,none,23,high,low,high,high,1
AUS128110,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,false']",3,0.0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333026439817263,0.0,1,0,2,none,0,0,0,none,23,low,low,low,low,1
